mag_u,mag_g,mag_r,mag_i,mag_z,redshift
23.633,22.069,20.646,19.628,19.037,0.5646
22.700,21.675,20.318,19.539,18.805,0.4724
24.310,21.506,20.323,19.383,19.117,0.5798
21.708,21.442,20.005,19.257,18.900,0.4779
22.504,21.912,20.558,19.658,19.195,0.4944
23.316,22.003,20.298,19.413,18.900,0.4668
22.072,22.114,21.007,20.117,20.226,0.7457
23.640,22.177,20.611,19.831,19.473,0.7110
24.122,22.150,20.967,19.767,19.270,0.5924
25.749,21.897,20.545,19.477,18.887,0.5434
24.375,22.575,20.936,19.981,19.792,0.4887
23.500,22.325,20.595,19.775,19.308,0.4900
24.831,22.246,20.743,19.776,19.811,0.4737
21.467,20.787,19.890,18.730,18.626,0.5967
24.943,21.887,20.273,19.364,19.004,0.4869
22.622,21.630,20.624,19.525,18.968,0.6588
23.212,22.170,20.689,19.933,19.570,0.4739
26.188,21.680,20.030,19.263,18.753,0.4825
23.199,23.264,21.734,20.532,19.871,0.7346
22.340,22.172,20.600,19.722,19.409,0.5835
22.315,22.950,21.130,20.216,19.625,0.5760
23.787,21.667,20.335,19.568,19.218,0.5525
25.342,21.852,20.235,19.250,18.883,0.5901
24.386,21.893,20.331,19.300,18.671,0.5053
22.497,22.007,20.755,19.840,19.803,0.6127
24.213,22.352,21.267,20.147,20.047,0.5581
22.183,22.038,20.524,19.481,18.885,0.5581
22.247,21.533,20.878,19.615,19.325,0.7044
24.965,21.961,20.573,19.570,19.187,0.5578
22.432,22.631,20.441,19.339,18.989,0.5274
23.336,22.167,20.671,19.899,19.604,0.4503
23.190,22.536,20.823,19.935,19.298,0.5119
23.471,22.094,20.913,19.683,19.211,0.0001
25.532,22.113,20.713,19.892,19.444,0.4853
26.307,22.014,20.309,19.171,18.619,0.5935
23.068,22.211,20.526,19.623,19.196,0.4878
22.663,22.949,20.920,19.895,19.656,0.5000
22.164,21.626,19.899,19.062,18.696,0.4889
23.454,22.233,20.365,19.454,19.146,0.4710
25.313,21.715,20.033,19.133,18.676,0.4878
24.351,21.857,20.199,19.065,18.578,0.5891
22.691,21.882,20.416,19.659,19.191,0.4803
23.675,22.472,20.720,19.620,19.199,0.5049
24.861,23.738,21.179,20.125,19.704,0.5935
22.134,22.475,20.947,19.854,19.738,0.4865
23.225,22.680,21.118,19.778,19.393,0.7417
22.674,22.505,20.898,19.988,19.325,0.5583
25.479,22.350,20.729,19.458,19.149,0.5616
24.638,22.628,21.278,20.026,19.505,0.6062
25.394,22.418,20.755,19.821,19.524,0.5049
21.737,21.491,20.630,19.312,18.727,0.0088
26.045,21.999,20.544,19.700,19.157,0.4976
25.374,22.044,20.543,19.484,19.075,0.5837
24.669,22.416,20.740,19.569,19.096,0.5835
24.807,22.623,20.988,19.887,19.520,0.5922
22.532,22.492,20.609,19.539,19.049,0.5966
23.909,21.242,20.223,19.228,19.048,0.5857
23.815,22.697,21.008,19.826,19.384,0.5970
22.472,22.346,20.794,19.781,19.271,0.5684
24.284,22.645,20.623,19.565,18.968,0.5618
22.686,20.784,19.571,18.729,18.319,0.4690
23.371,21.582,20.037,18.982,18.421,0.5644
24.676,21.842,20.450,19.253,18.958,0.5654
21.459,21.039,19.648,18.791,18.531,0.5145
23.112,22.001,20.521,19.610,19.014,0.5273
24.418,22.288,20.862,19.894,19.605,0.5665
22.761,21.759,20.093,18.938,18.466,0.5546
24.518,22.386,20.751,19.670,19.274,0.5674
21.968,21.469,20.278,19.436,18.969,0.5778
22.695,21.990,20.397,19.519,19.210,0.4294
22.199,22.862,20.721,19.757,19.179,0.6233
24.222,22.705,20.764,19.906,19.480,0.4835
23.729,21.765,20.023,19.246,18.879,0.3953
25.288,22.495,20.831,19.797,19.195,0.5913
22.146,22.209,21.121,19.942,19.456,0.5844
23.196,22.170,20.773,19.709,19.230,0.5836
24.432,22.562,21.166,19.822,19.365,0.6137
22.586,21.238,19.647,18.518,18.055,0.5861
22.919,22.330,20.726,19.730,19.167,0.5875
21.620,21.970,20.615,19.809,19.435,0.4846
22.956,21.349,19.694,18.830,18.366,0.4869
25.165,21.765,19.997,19.123,18.649,0.4761
22.713,21.664,19.934,18.846,18.518,0.5947
23.759,22.403,20.772,19.892,19.622,0.4981
24.094,21.685,20.245,19.406,19.008,0.4065
26.013,21.206,19.520,18.627,18.149,0.4848
25.483,22.336,20.644,19.664,19.194,0.5297
25.746,21.599,19.947,19.023,18.668,0.4860
21.694,21.210,19.411,18.535,18.016,0.4641
23.669,21.843,20.565,19.670,19.340,0.7317
25.409,22.884,21.178,20.063,19.760,0.5774
23.434,22.380,20.661,19.545,19.187,0.6074
22.185,21.797,19.814,18.815,18.269,0.5656
22.933,22.138,20.382,19.508,18.994,0.4734
25.030,22.835,21.146,19.991,19.573,0.5577
24.504,22.458,20.682,19.799,19.325,0.4796
22.662,22.247,20.844,19.484,18.868,0.7393
22.711,21.813,20.281,19.226,18.588,0.5777
24.130,21.567,20.175,19.427,18.720,0.4041
24.282,23.277,20.679,19.482,19.064,0.5843
23.095,21.833,20.565,19.750,19.577,0.4761
22.533,21.976,20.358,19.439,19.020,0.4801
24.529,22.574,21.185,19.831,19.484,0.5640
22.204,21.181,19.781,19.029,18.539,0.4915
21.775,22.224,20.226,19.276,18.659,0.5544
25.196,22.596,20.771,19.655,19.180,0.5922
21.895,22.209,20.462,19.536,19.065,0.4789
22.790,22.112,20.621,19.539,19.112,0.5923
